,cod_ibge,txt_nome_municipio,txt_sigla_uf,txt_regiao,dt_assinatura,cod_operacao,txt_nome_empreendimento,txt_nome_agente_financeiro,txt_modalidade,txt_situacao_empreendimento,qtd_uh,qtd_uh_entregues,qtd_uh_vigentes,qtd_uh_distratadas,val_contratado_total,val_desembolsado
57638,241.355,Serrinha dos Pintos ,RN,Nordeste,02/06/2010,,Oferta Pública em Serrinha dos Pintos,BANCO PAULISTA,Oferta Pública,Concluído,29,29,0,0,348000.0,348000.0
57639,261.08,Pedra ,PE,Nordeste,25/02/2013,,Oferta Pública em Pedra,CCB,Oferta Pública,Não Concluído,48,46,2,0,1200000.0,1195000.0
57640,150.495,Nova Esperança do Piriá ,PA,Norte,03/03/2011,,Oferta Pública em Nova Esperança do Piriá,BANCO MORADA,Oferta Pública,Distratado/Cancelado,60,0,0,60,960000.0,582400.0
57641,172.21,Xambioá,TO,Norte,07/05/2010,,Oferta Pública em Xambioá,BANCO PAULISTA,Oferta Pública,Não Concluído,30,0,30,0,390000.0,148200.0
57642,280.32,Itaporanga d'Ajuda ,SE,Nordeste,04/01/2013,,Oferta Pública em Itaporanga d'Ajuda,ECONOMISA,Oferta Pública,Concluído,37,37,0,0,925000.0,925000.0
57643,231.12,Potengi ,CE,Nordeste,25/02/2013,,Oferta Pública em Potengi,BANCO TRICURY,Oferta Pública,Não Concluído,40,38,2,0,1000000.0,957500.0
57644,292.91,São Felipe ,BA,Nordeste,25/02/2013,,Oferta Pública em São Felipe,COBANSA,Oferta Pública,Distratado/Cancelado,50,0,0,50,1250000.0,1118750.0
57646,221.03,São Julião ,PI,Nordeste,25/02/2013,,Oferta Pública em São Julião,COBANSA,Oferta Pública,Concluído,36,34,0,2,900000.0,895000.0
57647,110.007,Corumbiara ,RO,Norte,15/06/2010,,Oferta Pública em Corumbiara,COBANSA,Oferta Pública,Distratado/Cancelado,30,0,0,30,390000.0,351000.0
57648,130.165,Guajará ,AM,Norte,10/05/2010,,Oferta Pública em Guajará,BANCO LUSO BRASILEIRO,Oferta Pública,Concluído,28,5,0,23,364000.0,154700.0
57649,261.245,Santa Cruz ,PE,Nordeste,10/08/2010,,Oferta Pública em Santa Cruz,BANCO SCHAHIN,Oferta Pública,Concluído,30,29,0,1,360000.0,358800.0
57650,293.04,Serra Preta ,BA,Nordeste,25/02/2013,,Oferta Pública em Serra Preta,CCB,Oferta Pública,Concluído,39,39,0,0,975000.0,975000.0
57651,251.48,São José dos Cordeiros ,PB,Nordeste,25/02/2013,,Oferta Pública em São José dos Cordeiros,CCB,Oferta Pública,Concluído,40,40,0,0,1000000.0,1000000.0
57652,320.35,Montanha ,ES,Sudeste,30/09/2010,,Oferta Pública em Montanha,BANCO LUSO BRASILEIRO,Oferta Pública,Concluído,30,23,0,7,390000.0,380900.0
57653,521.487,Nova Iguaçu de Goiás ,GO,Centro-Oeste,12/05/2013,,Oferta Pública em Nova Iguaçu de Goiás,CCB,Oferta Pública,Concluído,35,35,0,0,875000.0,875000.0
57654,171.67,Colméia ,TO,Norte,25/02/2013,,Oferta Pública em Colméia,COBANSA,Oferta Pública,Distratado/Cancelado,40,0,0,40,1000000.0,900000.0
57655,290.55,Caldeirão Grande ,BA,Nordeste,25/02/2013,,Oferta Pública em Caldeirão Grande,FAMÍLIA PAULISTA,Oferta Pública,Não Concluído,34,24,10,0,850000.0,825000.0
57656,291.93,Lençóis ,BA,Nordeste,30/08/2010,,Oferta Pública em Lençóis,COBANSA,Oferta Pública,Distratado/Cancelado,30,0,0,30,360000.0,324000.0
57657,314.625,Padre Carvalho ,MG,Sudeste,23/11/2012,,Oferta Pública em Padre Carvalho,BANCO BONSUCESSO,Oferta Pública,Concluído,40,40,0,0,1000000.0,1000000.0
57658,171.75,Pium ,TO,Norte,10/08/2010,,Oferta Pública em Pium,BANCO PAULISTA,Oferta Pública,Não Concluído,30,0,30,0,390000.0,312000.0
57659,250.98,Mulungu ,PB,Nordeste,28/12/2012,,Oferta Pública em Mulungu,CEHAP/PB,Oferta Pública,Concluído,40,40,0,0,1000000.0,1000000.0
57660,510.515,Juína ,MT,Centro-Oeste,25/02/2013,,Oferta Pública em Juína,FAMÍLIA PAULISTA,Oferta Pública,Não Concluído,50,49,1,0,1250000.0,1247500.0
57661,353.49,Pacaembu ,SP,Sudeste,25/02/2013,,Oferta Pública em Pacaembu,BANCO LUSO BRASILEIRO,Oferta Pública,Concluído,40,40,0,0,1000000.0,1000000.0
57662,211.16,São Raimundo das Mangabeiras ,MA,Nordeste,17/06/2011,,Oferta Pública em São Raimundo das Mangabeiras,BANCO LUSO BRASILEIRO,Oferta Pública,Concluído,30,30,0,0,360000.0,360000.0
57663,240.93,Patu ,RN,Nordeste,16/07/2010,,Oferta Pública em Patu,CHB,Oferta Pública,Concluído,30,30,0,0,360000.0,360000.0
57664,292.04,Manoel Vitorino ,BA,Nordeste,25/02/2013,,Oferta Pública em Manoel Vitorino,FAMÍLIA PAULISTA,Oferta Pública,Concluído,40,40,0,0,1000000.0,1000000.0
57665,150.658,Santa Maria das Barreiras ,PA,Norte,26/04/2010,,Oferta Pública em Santa Maria das Barreiras,BANCO LUSO BRASILEIRO,Oferta Pública,Não Concluído,30,26,4,0,390000.0,384800.0
57666,110.06,Cacaulândia ,RO,Norte,28/12/2012,,Oferta Pública em Cacaulândia,ECONOMISA,Oferta Pública,Distratado/Cancelado,27,0,0,27,675000.0,101250.0
57667,171.15,Jaú do Tocantins ,TO,Norte,04/01/2013,,Oferta Pública em Jaú do Tocantins,ECONOMISA,Oferta Pública,Concluído,38,38,0,0,950000.0,950000.0
57668,270.235,Craíbas ,AL,Nordeste,25/02/2013,,Oferta Pública em Craíbas,BANCO TRICURY,Oferta Pública,Não Concluído,50,49,1,0,1250000.0,1247500.0
57669,430.29,Cacequi ,RS,Sul,16/03/2013,,Oferta Pública em Cacequi,BANCO SICREDI,Oferta Pública,Concluído,36,35,0,1,900000.0,878750.0
57670,353.01,Mirandópolis ,SP,Sudeste,25/02/2013,,Oferta Pública em Mirandópolis,BANCO LUSO BRASILEIRO,Oferta Pública,Concluído,50,50,0,0,1250000.0,1250000.0
57671,220.755,Paquetá ,PI,Nordeste,25/02/2013,,Oferta Pública em Paquetá,PROVÍNCIA,Oferta Pública,Concluído,33,33,0,0,825000.0,825000.0
57672,291.58,Itambé ,BA,Nordeste,25/02/2013,,Oferta Pública em Itambé,BANCO TRICURY,Oferta Pública,Não Concluído,43,20,23,0,1075000.0,1017500.0
57673,220.455,Guaribas ,PI,Nordeste,25/02/2013,,Oferta Pública em Guaribas,FAMÍLIA PAULISTA,Oferta Pública,Concluído,38,38,0,0,950000.0,950000.0
57674,354.42,Riolândia ,SP,Sudeste,15/03/2011,,Oferta Pública em Riolândia,COBANSA,Oferta Pública,Concluído,30,24,0,6,390000.0,382200.0
57675,210.49,Guimarães ,MA,Nordeste,25/02/2013,,Oferta Pública em Guimarães,BANCO TRICURY,Oferta Pública,Não Concluído,37,36,1,0,925000.0,903750.0
57676,280.38,Malhada dos Bois ,SE,Nordeste,23/11/2012,,Oferta Pública em Malhada dos Bois,CCB,Oferta Pública,Concluído,36,36,0,0,900000.0,886250.0
57677,290.9,Cordeiros ,BA,Nordeste,25/02/2013,,Oferta Pública em Cordeiros,FAMÍLIA PAULISTA,Oferta Pública,Concluído,33,33,0,0,825000.0,825000.0
57678,351.535,Euclides da Cunha Paulista ,SP,Sudeste,28/12/2012,,Oferta Pública em Euclides da Cunha Paulista,COBANSA,Oferta Pública,Distratado/Cancelado,40,0,0,40,1000000.0,900000.0
57679,510.682,Porto Esperidião ,MT,Centro-Oeste,31/01/2011,,Oferta Pública em Porto Esperidião,FAMÍLIA PAULISTA,Oferta Pública,Concluído,30,30,0,0,360000.0,360000.0
57680,211.174,Senador Alexandre Costa ,MA,Nordeste,16/07/2010,,Oferta Pública em Senador Alexandre Costa,CHB,Oferta Pública,Não Concluído,30,25,5,0,360000.0,354000.0
57681,412.57,São Miguel do Iguaçu ,PR,Sul,29/01/2013,,Oferta Pública em São Miguel do Iguaçu,CRESOL BASER,Oferta Pública,Concluído,22,22,0,0,550000.0,547500.0
57682,291.41,Ipupiara ,BA,Nordeste,25/02/2013,,Oferta Pública em Ipupiara,FAMÍLIA PAULISTA,Oferta Pública,Concluído,40,40,0,0,1000000.0,1000000.0
57683,313.11,Inimutaba ,MG,Sudeste,23/11/2012,,Oferta Pública em Inimutaba,COHAB/MG,Oferta Pública,Concluído,13,13,0,0,325000.0,325000.0
57684,411.345,Lindoeste ,PR,Sul,29/01/2013,,Oferta Pública em Lindoeste,CRESOL BASER,Oferta Pública,Concluído,40,40,0,0,1000000.0,1000000.0
57685,250.24,Bonito de Santa Fé ,PB,Nordeste,25/02/2013,,Oferta Pública em Bonito de Santa Fé,FAMÍLIA PAULISTA,Oferta Pública,Não Concluído,40,39,1,0,1000000.0,997500.0
57686,500.515,Juti ,MS,Centro-Oeste,30/08/2010,,Oferta Pública em Juti,BANCO MORADA,Oferta Pública,Distratado/Cancelado,30,0,0,30,360000.0,108000.0
57687,210.312,Central do Maranhão ,MA,Nordeste,25/02/2013,,Oferta Pública em Central do Maranhão,FAMÍLIA PAULISTA,Oferta Pública,Concluído,36,36,0,0,900000.0,900000.0
57688,251.207,Poço de José de Moura ,PB,Nordeste,27/04/2010,,Oferta Pública em Poço de José de Moura,ECONOMISA,Oferta Pública,Concluído,30,30,0,0,360000.0,360000.0
57689,500.54,Maracaju ,MS,Centro-Oeste,23/04/2010,,Oferta Pública em Maracaju,CCB,Oferta Pública,Não Concluído,60,59,1,0,900000.0,888000.0
57690,210.409,Formosa da Serra Negra ,MA,Nordeste,06/05/2010,,Oferta Pública em Formosa da Serra Negra,ECONOMISA,Oferta Pública,Concluído,30,30,0,0,360000.0,360000.0
57691,410.06,Alto Paraná ,PR,Sul,04/01/2013,,Oferta Pública em Alto Paraná,ECONOMISA,Oferta Pública,Concluído,40,40,0,0,1000000.0,1000000.0
57692,411.08,Iretama ,PR,Sul,25/02/2013,,Oferta Pública em Iretama,PROVÍNCIA,Oferta Pública,Concluído,36,36,0,0,900000.0,900000.0
57693,240.165,Bodó ,RN,Nordeste,06/10/2011,,Oferta Pública em Bodó,BANCO PAULISTA,Oferta Pública,Concluído,30,30,0,0,360000.0,360000.0
